Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GCP_SmokeTest,Chrome 74.0.3729.169,,,2019-06-06 19:42:30,2019-06-06 20:05:23,22m - 53.766s,FAILED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_In-house,Chrome 74.0.3729.169,,,2019-06-06 19:42:30,2019-06-06 19:45:15,2m - 45.042s,PASSED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_In_house),Chrome 74.0.3729.169,,,2019-06-06 19:42:30,2019-06-06 19:45:15,2m - 44.659s,PASSED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_VerifyUploadedFile_option1,Chrome 74.0.3729.169,,,2019-06-06 19:45:15,2019-06-06 19:46:37,1m - 21.785s,FAILED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_VerifyUploadFile_option1),Chrome 74.0.3729.169,,,2019-06-06 19:45:15,2019-06-06 19:46:37,1m - 21.362s,FAILED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_DownloadFiles_option1,Chrome 74.0.3729.169,,,2019-06-06 19:46:37,2019-06-06 19:49:14,2m - 37.190s,FAILED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_DownloadFiles_option1),Chrome 74.0.3729.169,,,2019-06-06 19:46:37,2019-06-06 19:49:14,2m - 36.835s,FAILED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_DeleteUploadedFiles_option1,Chrome 74.0.3729.169,,,2019-06-06 19:49:14,2019-06-06 19:51:02,1m - 48.337s,FAILED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_DeleteUploadedFiles_option1),Chrome 74.0.3729.169,,,2019-06-06 19:49:14,2019-06-06 19:51:02,1m - 48.070s,FAILED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_CertifiedCleaningService,Chrome 74.0.3729.169,,,2019-06-06 19:51:02,2019-06-06 19:53:51,2m - 48.672s,PASSED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_CertifiedCleaningService),Chrome 74.0.3729.169,,,2019-06-06 19:51:02,2019-06-06 19:53:51,2m - 48.506s,PASSED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_VerifyUploadedFile_option2,Chrome 74.0.3729.169,,,2019-06-06 19:53:51,2019-06-06 19:55:32,1m - 40.895s,FAILED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_VerifyUploadedFile_option2),Chrome 74.0.3729.169,,,2019-06-06 19:53:51,2019-06-06 19:55:32,1m - 40.679s,FAILED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_DownloadFiles_option2,Chrome 74.0.3729.169,,,2019-06-06 19:55:32,2019-06-06 19:57:46,2m - 14.111s,FAILED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_DownloadFiles_option2),Chrome 74.0.3729.169,,,2019-06-06 19:55:32,2019-06-06 19:57:46,2m - 13.965s,FAILED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_DeleteUploadedFiles_option2,Chrome 74.0.3729.169,,,2019-06-06 19:57:46,2019-06-06 19:59:08,1m - 22.289s,FAILED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_DeleteUploadedFiles_option2),Chrome 74.0.3729.169,,,2019-06-06 19:57:46,2019-06-06 19:59:08,1m - 22.045s,FAILED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_NegativeCases_option1,Chrome 74.0.3729.169,,,2019-06-06 19:59:08,2019-06-06 20:00:42,1m - 33.705s,FAILED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_NegativeCases_option1),Chrome 74.0.3729.169,,,2019-06-06 19:59:08,2019-06-06 20:00:42,1m - 33.493s,FAILED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_NegativeCases_option2,Chrome 74.0.3729.169,,,2019-06-06 20:00:42,2019-06-06 20:03:33,2m - 50.610s,FAILED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_NegativeCases_option2),Chrome 74.0.3729.169,,,2019-06-06 20:00:42,2019-06-06 20:03:33,2m - 50.325s,FAILED
,,,,,,,
Test Cases/GreenCleaningPolicy/TC_GCP_AutoSaveAsDraft,Chrome 74.0.3729.169,,,2019-06-06 20:03:33,2019-06-06 20:05:23,1m - 50.013s,FAILED
runWithCucumberRunner(greenCleaningPolicyForm.Runner_AutoSaveAsDraftGCP),Chrome 74.0.3729.169,,,2019-06-06 20:03:33,2019-06-06 20:05:23,1m - 49.741s,FAILED
