Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTest,Chrome 74.0.3729.169,,2019-05-29 18:36:18,2019-05-29 18:57:05,20m - 47.072s,FAILED
,,,,,,
Test Cases/LightPollutionReduction/TC_LPR_FixtureSheildingForm,Chrome 74.0.3729.169,,2019-05-29 18:36:18,2019-05-29 18:38:07,1m - 49.106s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_LPR_FixtureSheildingForm),Chrome 74.0.3729.169,,2019-05-29 18:36:19,2019-05-29 18:38:07,1m - 48.613s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_VerifyLPR,Chrome 74.0.3729.169,,2019-05-29 18:38:07,2019-05-29 18:38:33,26.230s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_VerifyLPR),Chrome 74.0.3729.169,,2019-05-29 18:38:07,2019-05-29 18:38:33,25.950s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_DownloadLPR,Chrome 74.0.3729.169,,2019-05-29 18:38:33,2019-05-29 18:41:45,3m - 11.802s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_DownloadLPR),Chrome 74.0.3729.169,,2019-05-29 18:38:34,2019-05-29 18:41:45,3m - 11.580s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_LPR_PerimeterMeasurements,Chrome 74.0.3729.169,,2019-05-29 18:41:45,2019-05-29 18:46:31,4m - 45.942s,FAILED
runWithCucumberRunner(lightPollutionReductionForm.Runner_LPR_PreimeterMeasurements),Chrome 74.0.3729.169,,2019-05-29 18:41:45,2019-05-29 18:46:31,4m - 45.676s,FAILED
,,,,,,
Test Cases/LightPollutionReduction/TC_DeleteTableData,Chrome 74.0.3729.169,,2019-05-29 18:46:31,2019-05-29 18:47:00,28.973s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_DeleteTableData),Chrome 74.0.3729.169,,2019-05-29 18:46:31,2019-05-29 18:47:00,28.698s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_DeleteLPR,Chrome 74.0.3729.169,,2019-05-29 18:47:00,2019-05-29 18:51:46,4m - 46.092s,PASSED
runWithCucumberRunner(lightPollutionReductionForm.Runner_DeleteLPR),Chrome 74.0.3729.169,,2019-05-29 18:47:00,2019-05-29 18:51:46,4m - 45.875s,PASSED
,,,,,,
Test Cases/LightPollutionReduction/TC_NegativeCasesLPR,Chrome 74.0.3729.169,,2019-05-29 18:51:46,2019-05-29 18:54:56,3m - 9.331s,FAILED
runWithCucumberRunner(lightPollutionReductionForm.Runner_NegativeCasesLPR),Chrome 74.0.3729.169,,2019-05-29 18:51:47,2019-05-29 18:54:56,3m - 8.966s,FAILED
,,,,,,
Test Cases/LightPollutionReduction/TC_AutoSaveAsDraftLPR,Chrome 74.0.3729.169,,2019-05-29 18:54:56,2019-05-29 18:57:04,2m - 8.514s,FAILED
runWithCucumberRunner(lightPollutionReductionForm.Runner_AutoSaveAsDraftLPR),Chrome 74.0.3729.169,,2019-05-29 18:54:56,2019-05-29 18:57:04,2m - 8.321s,FAILED
